token_id,release_wave,narrative_job,active_listing_verified,story_post_url,list_price_eth,list_date,outcome,notes
1,1,Opening witness,,,,,,Verify live order before promotion
4,1,Borrowed grief,,,,,,
7,1,Lead witness Nail,,,,,,Hero Subject
9,1,Missing walk,,,,,,
13,1,Glass weapon,,,,,,
18,1,Message from Zero,,,,,,
21,2,Stopped minute,,,,,,
24,2,Backward line,,,,,,
31,2,The Clean arrival,,,,,,Use IPFS image until local preview added
44,2,Lot 404,,,,,,Connect to Chapter 44
57,2,First door opened,,,,,,
72,2,Other cities,,,,,,
88,3,External witnesses,,,,,,
101,3,Post-checkpoint witness,,,,,,
144,3,Memory Market evidence,,,,,,
233,3,Cartographer route,,,,,,
377,3,False-past record,,,,,,
404,3,Anonymous lot,,,,,,Priority record page
512,4,Bedrock signal,,,,,,
616,4,Ownership revolt,,,,,,
707,4,Outside expedition,,,,,,
808,4,Original lie evidence,,,,,,
909,4,Second Decay lock,,,,,,
1000,4,Final command,,,,,,Do not present as more rare
